Source,SS,DF,MS,F,p-unc,np2
interaction,13.508877525362285,3.0,4.502959175120762,905.271678482325,0.0,0.28552016889795995
layer,232.22474530806,3.0,77.40824843602,15562.098669964806,0.0,0.8729299131297071
interaction * layer,16.128183930689108,9.0,1.7920204367432342,360.26650155043217,0.0,0.3229995810035624
Residual,33.80433883165847,6796.0,0.004974152270697244,,,
