group1,group2,meandiff,p-adj,lower,upper,reject
0,1,-0.1511,0,-0.1742,-0.128,TRUE
0,2,-0.1464,0,-0.1695,-0.1233,TRUE
0,3,0.0826,0,0.0595,0.1057,TRUE
1,2,0.0047,0.9534,-0.0184,0.0278,FALSE
1,3,0.2337,0,0.2105,0.2568,TRUE
2,3,0.229,0,0.2059,0.2521,TRUE
,,,,,,
o: Concat,,,,,,
1: BEM,,,,,,
2: CMM,,,,,,
3: Sum-diff,,,,,,
